Seed,Condition,Generation,SurvivalRate,ActionEntropy,ANNEX,GoldilocksStatus,AvgNodes,AvgEdges
789,Condition D (Naive 12 nodes),4000,0.5,0.0,1,REJECT_TOO_EASY,125.1,382.95
789,Condition D (Naive 12 nodes),4500,0.5,0.0,1,REJECT_TOO_EASY,140.8,441.0
789,Condition D (Naive 12 nodes),5000,0.5,0.0,1,REJECT_TOO_EASY,161.05,502.2
1011,Condition A (V5 467 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,483.35,1581.7
1011,Condition A (V5 467 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,494.35,1615.75
1011,Condition A (V5 467 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,514.0,1672.1
1011,Condition A (V5 467 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,534.15,1728.3
1011,Condition A (V5 467 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,550.55,1775.1
1011,Condition A (V5 467 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,570.7,1828.4
1011,Condition A (V5 467 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,587.45,1882.2
1011,Condition A (V5 467 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,603.55,1935.5
1011,Condition A (V5 467 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,613.0,1971.25
1011,Condition A (V5 467 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,629.05,2016.15
1011,Condition B (V6 Constrained 52 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),1000,0.9,0.0,1,ACCEPT,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),1500,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),2000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),2500,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),3000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),3500,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),4000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),4500,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition B (V6 Constrained 52 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
1011,Condition C (V4 123 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,136.65,392.9
1011,Condition C (V4 123 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,154.9,442.9
1011,Condition C (V4 123 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,165.75,480.5
1011,Condition C (V4 123 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,178.95,520.1
1011,Condition C (V4 123 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,196.25,569.9
1011,Condition C (V4 123 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,216.0,629.1
1011,Condition C (V4 123 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,226.65,673.6
1011,Condition C (V4 123 nodes),4000,0.75,0.0,1,ACCEPT,242.0,722.15
1011,Condition C (V4 123 nodes),4500,1.0,0.0,1,REJECT_TOO_EASY,261.8,777.3
1011,Condition C (V4 123 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,278.0,831.15
1011,Condition D (Naive 12 nodes),500,0.85,0.9738,1,ACCEPT,26.1,46.35
1011,Condition D (Naive 12 nodes),1000,0.65,0.7889,1,REJECT_TOO_EASY,36.5,89.75
1011,Condition D (Naive 12 nodes),1500,0.55,0.6202,1,REJECT_TOO_EASY,50.05,131.25
1011,Condition D (Naive 12 nodes),2000,0.95,0.7118,1,REJECT_TOO_EASY,68.45,188.2
1011,Condition D (Naive 12 nodes),2500,0.75,0.9875,1,REJECT_TOO_EASY,83.25,250.55
1011,Condition D (Naive 12 nodes),3000,0.6,0.6274,1,REJECT_TOO_EASY,94.35,296.2
1011,Condition D (Naive 12 nodes),3500,1.0,0.795,1,REJECT_TOO_EASY,107.25,336.55
1011,Condition D (Naive 12 nodes),4000,0.8,0.9971,1,REJECT_TOO_EASY,125.4,395.9
1011,Condition D (Naive 12 nodes),4500,0.5,0.0,1,REJECT_TOO_EASY,141.2,447.45
1011,Condition D (Naive 12 nodes),5000,0.55,0.3373,1,REJECT_TOO_EASY,154.05,494.6
