generation,gac,mean_novelty,archive_size
207,12.68,0.528631281852343,200
208,13.02,0.5012221639991807,200
209,6.4,0.499278181404024,200
210,7.22,0.4596452075145991,200
211,8.82,0.49174861654930035,200
212,6.06,0.5030933444948329,200
213,5.74,0.5006570298457028,200
214,5.82,0.46839150186344014,200
215,6.22,0.48670440994867337,200
216,6.18,0.5039905671339517,200
217,6.46,0.49647155612798705,200
218,6.06,0.5060631942472986,200
219,6.08,0.5047604024140244,200
220,6.3,0.5452251894806044,200
221,6.18,0.5798146566560586,200
222,6.08,0.583430019446766,200
223,6.48,0.6290174356119929,200
224,6.36,0.6313977270249925,200
225,6.2,0.5987204071377016,200
226,6.3,0.5708091066824302,200
227,7.04,0.5782633038641992,200
228,7.76,0.5013203336026267,200
229,7.78,0.47998709502888887,200
230,8.28,0.42989752018102123,200
231,7.82,0.4709621942138707,200
232,8.24,0.5119414770563883,200
233,8.06,0.5366699129024812,200
234,8.9,0.5288198532558042,200
235,8.88,0.5168545843462173,200
236,8.98,0.5138338234472077,200
237,9.68,0.5380376092601944,200
238,9.42,0.5053097045480104,200
239,9.08,0.46656718132035835,200
240,9.5,0.5009665042156941,200
241,8.9,0.5260660897095024,200
242,8.74,0.5032201466491208,200
243,9.12,0.5020104350776486,200
244,9.22,0.4904613421994473,200
245,9.38,0.5305829112744189,200
246,9.6,0.5459937002964489,200
247,9.38,0.5523970269110312,200
248,9.48,0.5398769259597163,200
249,10.02,0.5662748783304881,200
250,10.78,0.5043028998226396,200
251,11.48,0.4886782283314423,200
252,11.28,0.4674572390468,200
253,10.34,0.48987413930651846,200
254,10.92,0.48115557895283134,200
255,10.74,0.44906989403939934,200
256,10.3,0.5009800388512271,200
257,9.68,0.46844981905688904,200
258,9.96,0.44703370798610864,200
259,10.76,0.49073131051756597,200
260,11.36,0.5073746125126121,200
261,10.6,0.5064041705969153,200
262,11.12,0.5457023537781448,200
263,10.44,0.60355865580868,200
264,11.64,0.6170074904086887,200
265,10.8,0.5761196661637458,200
266,10.48,0.5867866135525046,200
267,10.98,0.5603477899421923,200
268,11.02,0.5459729607486106,200
269,12.06,0.5426824629426122,200
270,11.02,0.562860335443533,200
271,12.3,0.5796796269267447,200
272,12.12,0.604727030543709,200
273,12.28,0.6020284454092107,200
274,13.5,0.6483351572080245,200
275,13.5,0.5675307017153145,200
276,14.36,0.5440223722476243,200
277,14.5,0.576180334185515,200
278,14.84,0.6087254902493994,200
279,15.3,0.5973965018475179,200
280,14.6,0.577076063613849,200
281,13.86,0.5241929930089505,200
282,14.98,0.5206884834942137,200
283,13.94,0.4931701310731601,200
284,15.0,0.535022154029273,200
285,13.56,0.5368152873262452,200
286,15.54,0.5645979892889347,200
287,13.18,0.5369206223973492,200
288,13.58,0.5475935266728112,200
289,12.38,0.5407357634577378,200
290,12.92,0.551535176652129,200
291,13.5,0.5334052165335426,200
292,13.3,0.5377387721315287,200
293,13.24,0.5416351067787923,200
294,13.38,0.5770980851652806,200
295,13.72,0.559449948630193,200
296,14.0,0.5478685343466801,200
297,15.28,0.5471616616616481,200
298,14.06,0.5402411445414613,200
299,14.82,0.5728531674147662,200
300,15.12,0.5883321170032179,200
301,13.22,0.5426780609070531,200
302,14.56,0.4951850948971414,200
303,14.68,0.5140824760166129,200
304,13.76,0.497382452563117,200
305,13.56,0.5356925073102244,200
306,12.66,0.5759664551184241,200
307,13.16,0.5732936137257656,200
308,12.4,0.5318096129399997,200
309,12.02,0.5971011172010633,200
310,12.76,0.5450743613496662,200
311,11.0,0.5650590519753819,200
312,12.2,0.5076790303202937,200
313,11.82,0.5377146724067802,200
314,13.4,0.5362322475192073,200
315,11.32,0.5823781185989341,200
316,11.82,0.5816278747464058,200
317,13.24,0.5696575430173768,200
318,12.4,0.5920600529276157,200
319,14.44,0.612905856365592,200
