generation,median,p25,p75,baseline
5850,0.46,0.4,0.53,fixed_constraints
5900,0.4,0.39,0.54,fixed_constraints
5950,0.44,0.41000000000000003,0.54,fixed_constraints
6000,0.32,0.31,0.35,fixed_constraints
6050,0.64,0.53,0.69,fixed_constraints
6100,0.48,0.47,0.5,fixed_constraints
6150,0.4,0.38,0.4,fixed_constraints
6200,0.42,0.4,0.55,fixed_constraints
6250,0.6,0.52,0.61,fixed_constraints
6300,0.48,0.45999999999999996,0.49,fixed_constraints
6350,0.28,0.2,0.48000000000000004,fixed_constraints
6400,0.38,0.36,0.39,fixed_constraints
6450,0.58,0.49,0.61,fixed_constraints
6500,0.44,0.44,0.45,fixed_constraints
6550,0.4,0.38,0.52,fixed_constraints
6600,0.64,0.49,0.64,fixed_constraints
6650,0.52,0.43000000000000005,0.56,fixed_constraints
6700,0.54,0.44000000000000006,0.6000000000000001,fixed_constraints
6750,0.3,0.28,0.38,fixed_constraints
6800,0.38,0.38,0.53,fixed_constraints
6850,0.44,0.43,0.45,fixed_constraints
6900,0.42,0.41000000000000003,0.57,fixed_constraints
6950,0.5,0.41000000000000003,0.62,fixed_constraints
7000,0.44,0.41000000000000003,0.45999999999999996,fixed_constraints
7050,0.38,0.33,0.38,fixed_constraints
7100,0.44,0.42000000000000004,0.53,fixed_constraints
7150,0.5,0.47,0.53,fixed_constraints
7200,0.4,0.35,0.44,fixed_constraints
7250,0.46,0.35,0.47,fixed_constraints
7300,0.5,0.47,0.51,fixed_constraints
7350,0.48,0.41000000000000003,0.55,fixed_constraints
7400,0.36,0.3,0.42,fixed_constraints
7450,0.6,0.43,0.64,fixed_constraints
7500,0.46,0.44,0.52,fixed_constraints
7550,0.42,0.4,0.42,fixed_constraints
7600,0.44,0.4,0.45,fixed_constraints
7650,0.38,0.31,0.51,fixed_constraints
7700,0.58,0.43,0.61,fixed_constraints
7750,0.52,0.43000000000000005,0.5700000000000001,fixed_constraints
7800,0.32,0.30000000000000004,0.32,fixed_constraints
7850,0.24,0.24,0.31,fixed_constraints
7900,0.5,0.47,0.5,fixed_constraints
7950,0.52,0.39,0.5800000000000001,fixed_constraints
8000,0.52,0.52,0.5800000000000001,fixed_constraints
8050,0.42,0.39,0.44,fixed_constraints
8100,0.32,0.28,0.5,fixed_constraints
8150,0.48,0.45999999999999996,0.49,fixed_constraints
8200,0.42,0.4,0.6,fixed_constraints
8250,0.38,0.38,0.39,fixed_constraints
8300,0.42,0.4,0.5,fixed_constraints
8350,0.52,0.43000000000000005,0.6799999999999999,fixed_constraints
8400,0.3,0.25,0.31,fixed_constraints
8450,0.38,0.37,0.48,fixed_constraints
8500,0.32,0.29000000000000004,0.33999999999999997,fixed_constraints
8550,0.3,0.28,0.43000000000000005,fixed_constraints
8600,0.4,0.36,0.45,fixed_constraints
8650,0.52,0.42000000000000004,0.62,fixed_constraints
8700,0.58,0.45999999999999996,0.6,fixed_constraints
8750,0.58,0.53,0.63,fixed_constraints
8800,0.4,0.35,0.53,fixed_constraints
8850,0.34,0.34,0.4,fixed_constraints
8900,0.42,0.39,0.47,fixed_constraints
8950,0.56,0.46,0.5800000000000001,fixed_constraints
9000,0.52,0.5,0.53,fixed_constraints
9050,0.62,0.5900000000000001,0.64,fixed_constraints
9100,0.38,0.37,0.44,fixed_constraints
9150,0.42,0.4,0.47,fixed_constraints
9200,0.36,0.32999999999999996,0.42,fixed_constraints
9250,0.4,0.34,0.42000000000000004,fixed_constraints
9300,0.34,0.33,0.53,fixed_constraints
9350,0.36,0.35,0.38,fixed_constraints
9400,0.34,0.34,0.38,fixed_constraints
9450,0.6,0.56,0.61,fixed_constraints
9500,0.34,0.33,0.39,fixed_constraints
9550,0.3,0.29000000000000004,0.33999999999999997,fixed_constraints
9600,0.68,0.53,0.7,fixed_constraints
9650,0.56,0.48000000000000004,0.5900000000000001,fixed_constraints
9700,0.34,0.31000000000000005,0.35,fixed_constraints
9750,0.42,0.42,0.52,fixed_constraints
9800,0.46,0.43000000000000005,0.47,fixed_constraints
9850,0.4,0.38,0.4,fixed_constraints
9900,0.34,0.31000000000000005,0.38,fixed_constraints
9950,0.4,0.38,0.53,fixed_constraints
10000,0.46,0.43000000000000005,0.54,fixed_constraints
