generation,gac,epc,nnd
3300,34.951219512195124,38.25881339566406,
3350,34.602409638554214,38.543715205456934,
3400,34.416666666666664,38.847091425531865,
3450,34.2,39.1694053184118,
3500,34.258823529411764,39.21703357388583,
3550,34.01162790697674,39.586467537386234,
3600,34.01162790697674,39.62022988747725,
3650,34.03488372093023,39.63283535753496,
3700,34.03488372093023,39.63283535753496,
3750,34.0919540229885,39.92749117394747,
3800,34.06896551724138,39.947942068427814,
3850,34.10344827586207,39.94858038124627,
3900,34.10344827586207,39.985622447999745,
3950,34.11494252873563,39.99049305841703,
4000,34.05747126436781,39.999243653834206,
4050,33.97701149425287,39.99963110601963,
4100,33.97701149425287,40.000234824281364,
4150,34.35227272727273,40.289449777623524,
4200,34.39772727272727,40.327129591147006,
4250,34.38636363636363,40.32781166075112,
4300,34.375,40.36741283603508,
4350,35.12222222222222,41.16504349062899,
4400,35.15384615384615,41.40578490861564,
4450,35.15384615384615,41.43098455757855,
4500,35.15384615384615,41.45651932778298,
4550,34.96739130434783,41.78860515291603,
4600,35.376344086021504,42.102528809648014,
4650,35.32258064516129,42.12755936593351,
4700,35.265957446808514,42.32640212501889,
4750,35.305263157894736,42.574321897546874,
4800,35.294736842105266,42.60862121853666,
4850,35.072916666666664,42.916495868333705,
4900,35.0625,42.95440221206604,
4950,35.422680412371136,43.341474784802955,
5000,35.422680412371136,43.34668228513175,
5050,35.765306122448976,43.764337841242856,
5100,35.81818181818182,44.02977804583005,
5150,35.7979797979798,44.07523684615733,
5200,35.84848484848485,44.10483096790243,
5250,35.878787878787875,44.13716926814083,
5300,35.6,44.48311320165018,
5350,35.69,44.50058411549052,
5400,35.62,44.515457086684094,
5450,35.63,44.52273442419138,
5500,35.689320388349515,45.504915893018634,
5550,36.02884615384615,45.89576365357646,
5600,36.22857142857143,46.20572846218642,
5650,36.2,46.210428028540534,
5700,36.21904761904762,46.24473797001868,
5750,36.2,46.247868761291855,
5800,36.2,46.26190583496577,
5850,36.386792452830186,45.94402033323887,
5900,36.34905660377358,45.95889717307131,
5950,36.34905660377358,45.95889717307131,
6000,36.34905660377358,45.96050129916314,
6050,36.34905660377358,45.960587752294,
6100,36.34905660377358,45.99850337649819,
6150,36.34905660377358,45.99850337649819,
6200,36.342592592592595,46.74163554689712,
6250,36.10091743119266,47.049361586423416,
6300,36.15596330275229,47.05127219816381,
6350,36.03603603603604,47.50884420880404,
6400,36.01801801801802,47.51838876160843,
6450,36.080357142857146,47.72893371987168,
6500,36.389380530973455,48.10509210936249,
6550,36.35087719298246,48.35464400503395,
6600,36.333333333333336,48.3780274802673,
6650,36.64655172413793,49.10282683453809,
6700,36.85470085470085,49.50515968170675,
6750,36.85470085470085,49.507380848487486,
6800,36.863247863247864,49.56804499839771,
6850,36.85470085470085,49.568498205838964,
6900,36.85470085470085,49.57513724611438,
6950,36.8974358974359,49.61952515977924,
