generation,gac,mean_novelty,archive_size
313,7.12,0.5565852622623193,200
314,7.26,0.5640762972867442,200
315,6.96,0.5924121432838877,200
316,6.96,0.5970881454895071,200
317,7.36,0.5600201922384717,200
318,6.98,0.5328225735452073,200
319,7.06,0.550412047563076,200
320,7.48,0.5254294623660118,200
321,6.74,0.5186478365106586,200
322,8.18,0.4862868638727336,200
323,6.74,0.5136402583401994,200
324,7.46,0.45976602465480276,200
325,6.52,0.4399789574651093,200
326,7.38,0.46970767636480837,200
327,6.96,0.4799420330225139,200
328,7.22,0.5102147662973224,200
329,6.88,0.5186301641256903,200
330,6.58,0.5220126304887248,200
331,7.08,0.5762762974876453,200
332,6.86,0.566398760395845,200
333,7.04,0.5506873613367749,200
334,6.84,0.5553761157935477,200
335,7.42,0.5447918624811594,200
336,7.08,0.5856944053404154,200
337,8.18,0.5896979818546765,200
338,7.94,0.5643960754030907,200
339,7.58,0.6095739997455841,200
340,6.96,0.5794548347889177,200
341,7.7,0.5715139749256644,200
342,6.9,0.5390975145646514,200
343,7.8,0.539033830048905,200
344,6.72,0.5473702387302197,200
345,7.68,0.5695522188835155,200
346,6.68,0.5647566487336899,200
347,7.22,0.5798954973552192,200
348,6.84,0.5696266358647862,200
349,7.2,0.5795404591752564,200
350,6.78,0.5794654712424111,200
351,6.48,0.5499889981020134,200
352,7.28,0.5761067512159818,200
353,6.58,0.57340305073619,200
354,7.3,0.5498405545785952,200
355,6.38,0.594992053664718,200
356,6.22,0.6009328333800806,200
357,6.86,0.643462948426734,200
358,5.44,0.6349472546010904,200
359,5.48,0.6434811597683417,200
360,5.86,0.6547515573990598,200
361,5.68,0.6519481084253705,200
362,5.78,0.6491631786932348,200
363,6.06,0.6375169056769152,200
364,6.26,0.6296294964320406,200
365,6.36,0.6393470016935209,200
366,6.76,0.6313115494726711,200
367,6.82,0.6170548173029063,200
368,7.08,0.5892906314896306,200
369,7.88,0.561061437924892,200
370,7.34,0.49285302044541734,200
371,8.56,0.5395230572677568,200
372,8.56,0.5158119461385011,200
373,9.12,0.5470834565217282,200
374,8.66,0.5525612221033357,200
375,9.8,0.5759593305646188,200
376,11.62,0.5541664455854951,200
377,11.16,0.5205701044159313,200
378,10.86,0.5411119268746386,200
379,11.5,0.5557768777193522,200
380,11.32,0.5800107187479397,200
381,11.6,0.598070174322113,200
382,11.04,0.6484298208521022,200
383,11.5,0.6204343221820761,200
384,12.9,0.5834535364982887,200
385,10.58,0.5740612468196519,200
386,9.4,0.5090756588358158,200
387,9.94,0.5208686289533003,200
388,10.0,0.5402324500108248,200
389,9.98,0.5592297183675624,200
390,10.22,0.5507600254140848,200
391,11.64,0.5528760450721463,200
392,10.36,0.5531483788889262,200
393,11.0,0.5462998732594344,200
394,12.24,0.5034430526920596,200
395,10.3,0.49219655230399495,200
396,10.38,0.46103633701835706,200
397,10.4,0.5140640397761401,200
398,10.96,0.537056602099251,200
399,9.36,0.5747218128489138,200
400,10.34,0.5283735377648765,200
401,9.86,0.5847731725785821,200
402,11.28,0.5289939568962152,200
403,11.52,0.5322642873340415,200
404,11.8,0.5311608010860892,200
405,12.82,0.5268927352814581,200
406,13.84,0.5493023739591046,200
407,13.24,0.5306516600422062,200
408,14.52,0.48581964901781566,200
409,14.74,0.4818096994133215,200
410,14.48,0.44748717300937885,200
411,14.28,0.49920502140769246,200
412,15.02,0.5213872328988416,200
413,16.02,0.5205248332495058,200
414,17.28,0.5318009962858077,200
415,16.64,0.5155417062539668,200
416,17.14,0.5153439062471823,200
417,17.26,0.5056740004495315,200
418,16.74,0.4963042820699025,200
419,18.18,0.4877791793425561,200
420,17.64,0.5158887029265143,200
421,18.74,0.5179804553410055,200
422,19.5,0.5173731830768488,200
423,19.1,0.4999650572953422,200
424,20.46,0.5293085431023017,200
425,20.88,0.5319336848161837,200
426,20.38,0.5428589373003924,200
427,20.9,0.5029288011992326,200
428,21.04,0.5285449759268892,200
429,20.44,0.5467020300817633,200
430,20.84,0.5240750487801882,200
431,20.88,0.48681957171007567,200
432,20.9,0.48976358327204705,200
433,20.9,0.48551953281623833,200
434,21.48,0.5099993650972929,200
435,20.92,0.5171334763570979,200
436,21.86,0.5148942292352868,200
437,20.3,0.5023055730052621,200
438,21.34,0.5067309499420385,200
439,20.16,0.4849825941134514,200
440,19.88,0.48340095796377136,200
441,19.24,0.5172147451204554,200
442,19.68,0.5088125914346647,200
443,19.16,0.5637569027234821,200
444,19.4,0.5777356012284194,200
445,18.78,0.5310160636590632,200
446,17.68,0.5140030810492666,200
447,19.18,0.5742946614433856,200
448,19.02,0.5567820103849223,200
449,17.78,0.6052473136135899,200
450,17.8,0.5457338639610533,200
451,16.92,0.5488281161139326,200
452,16.84,0.5473726953133721,200
453,16.82,0.545529777887991,200
454,17.2,0.5740521060482325,200
455,15.92,0.5422125919810314,200
456,14.7,0.5731402913077701,200
457,15.44,0.5464071698985348,200
458,15.88,0.5627160760414777,200
459,15.18,0.52713766005193,200
460,13.42,0.5236464090608922,200
461,14.4,0.5194170084905176,200
462,14.38,0.5301850864969738,200
463,13.26,0.4977187976745844,200
464,13.56,0.5011215107535336,200
465,13.9,0.5170948840160079,200
466,12.76,0.523208312128599,200
467,13.14,0.5195165895064819,200
468,13.16,0.5250769526156567,200
469,11.88,0.4905707640909015,200
470,13.16,0.5064696760271201,200
471,12.46,0.540818085065321,200
472,13.04,0.5295714443250138,200
473,12.9,0.5318303653418343,200
474,13.4,0.5662662132277949,200
475,12.36,0.5552619983685289,200
476,12.86,0.5377802877368755,200
477,13.32,0.5835019503798023,200
478,12.78,0.5858920258750772,200
479,14.76,0.536232342341719,200
480,13.6,0.5209090662090388,200
481,15.86,0.5502189283124956,200
482,16.32,0.5658494559555494,200
483,13.54,0.5681674356735098,200
484,16.66,0.5406600903918983,200
485,12.7,0.4461471949253145,200
486,14.92,0.43901639139111376,200
487,14.68,0.4455110009922554,200
488,15.38,0.4609617168649137,200
489,12.54,0.456815444463733,200
490,16.36,0.4804079960250812,200
491,13.54,0.4908155108422857,200
492,14.7,0.5192514225969187,200
493,12.32,0.5461778930781539,200
494,14.5,0.5616307137827196,200
495,12.84,0.5562664884184689,200
496,10.18,0.49875644871057373,200
497,10.2,0.4897301421238352,200
498,10.9,0.4867130562840177,200
499,12.2,0.5207815926529006,200
500,12.54,0.533778014282216,200
501,11.98,0.47845713419984065,200
502,15.78,0.4431176263255175,200
503,13.48,0.43992474873378634,200
504,14.54,0.5145865781198963,200
505,12.8,0.5567713760395688,200
506,14.02,0.5463282702608061,200
507,12.76,0.5016715968699181,200
508,10.96,0.5354940224695532,200
509,11.58,0.5356714094681831,200
510,14.82,0.5857766746427105,200
511,11.42,0.6053117128251849,200
512,13.72,0.6177575082426343,200
513,12.48,0.6117850580284891,200
514,11.78,0.6286132883002851,200
515,14.98,0.5876013281487356,200
516,14.88,0.5454428693796254,200
517,13.24,0.5035373589600323,200
518,13.02,0.5261997239830634,200
519,11.64,0.49495974805826426,200
520,15.74,0.49460436772861655,200
521,13.7,0.44105639529030655,200
522,12.32,0.47996930172881913,200
523,9.66,0.47412806670593777,200
524,12.0,0.481269935886195,200
525,8.08,0.5106250049689257,200
526,9.76,0.5131328336334547,200
527,9.04,0.5011096537385041,200
528,9.22,0.49664224240774435,200
529,8.74,0.5406031370606112,200
530,8.38,0.5091098111355058,200
531,9.7,0.5215242022939055,200
532,9.64,0.5199790451883463,200
533,9.7,0.5455441567586446,200
534,10.5,0.5251801312485009,200
535,10.78,0.5232591794136998,200
536,11.56,0.48337137343318615,200
537,10.36,0.49353565908344615,200
538,9.84,0.5052293499982344,200
539,9.16,0.48581712504397684,200
540,10.24,0.47957648143703957,200
541,10.04,0.511953471287841,200
542,10.04,0.5074630543051871,200
543,9.8,0.47491822204085216,200
544,9.12,0.4833173806701999,200
545,9.76,0.5226029542845039,200
546,9.46,0.5034827306288348,200
547,9.34,0.545860181164089,200
