generation,median,p25,p75,baseline
2400,2.1702127659574466,1.9351063829787232,2.25177304964539,novelty_search
2450,2.2,2.0100000000000002,2.4125,novelty_search
2500,2.34,2.1399999999999997,2.430416666666667,novelty_search
2550,2.510204081632653,2.2851020408163265,3.0051020408163263,novelty_search
2600,2.183673469387755,2.181836734693878,2.6718367346938776,novelty_search
2650,2.625,2.385416666666667,2.953804347826087,novelty_search
2700,2.28,2.07,2.4257142857142857,novelty_search
2750,2.32,2.2,2.40468085106383,novelty_search
2800,2.125,1.9525000000000001,2.489583333333333,novelty_search
2850,2.42,2.21,2.689166666666667,novelty_search
2900,2.760869565217391,2.4904347826086957,2.8004347826086953,novelty_search
2950,2.12,2.070204081632653,2.6016666666666666,novelty_search
3000,2.08,1.9100000000000001,2.14,novelty_search
3050,2.34,1.8944897959183673,2.3604761904761906,novelty_search
3100,2.1,1.925,2.51875,novelty_search
3150,2.204081632653061,2.0120408163265306,2.5420408163265305,novelty_search
3200,2.0408163265306123,1.8604081632653062,2.795918367346939,novelty_search
3250,2.22,2.14,2.5162500000000003,novelty_search
3300,2.375,2.3405612244897958,2.5027173913043477,novelty_search
3350,2.7708333333333335,2.599702380952381,3.230654761904762,novelty_search
3400,2.25,1.885,2.5433673469387754,novelty_search
3450,1.94,1.85,2.6944897959183676,novelty_search
3500,3.14,2.55,3.347777777777778,novelty_search
3550,2.5306122448979593,2.3694727891156466,2.573816760746852,novelty_search
3600,2.6,2.571739130434783,2.8200000000000003,novelty_search
3650,3.0833333333333335,2.8886054421768708,3.266156462585034,novelty_search
3700,2.2244897959183674,1.8309948979591837,2.5601615646258504,novelty_search
3750,2.3877551020408165,2.2857142857142856,2.7047471162377996,novelty_search
3800,2.9782608695652173,2.839130434782609,3.4669082125603863,novelty_search
3850,2.8,2.55625,2.99375,novelty_search
3900,2.64,2.5700000000000003,2.9370212765957446,novelty_search
3950,2.0,2.0,2.3899999999999997,novelty_search
4000,2.5510204081632653,2.535510204081633,2.615510204081633,novelty_search
4050,2.306122448979592,2.2130612244897963,2.306122448979592,novelty_search
4100,2.06,2.0300000000000002,2.183061224489796,novelty_search
4150,2.1020408163265305,2.0710204081632653,2.441020408163265,novelty_search
4200,2.4,2.2978260869565217,2.627083333333333,novelty_search
4250,2.6595744680851063,2.5520094562647753,2.8506205673758864,novelty_search
4300,2.24,2.232244897959184,2.58,novelty_search
4350,2.851063829787234,2.456144159791576,3.203309692671395,novelty_search
4400,2.6382978723404253,2.217108119843682,2.729148936170213,novelty_search
4450,2.7872340425531914,2.771168041684759,2.9262257169287693,novelty_search
4500,2.75,2.215,2.9056122448979593,novelty_search
4550,2.34,2.32,2.58,novelty_search
4600,2.38,2.363913043478261,2.992325581395349,novelty_search
4650,2.0,1.9387755102040818,2.25,novelty_search
4700,2.9183673469387754,2.7570560138949194,3.0147392290249435,novelty_search
4750,2.98,2.9299999999999997,3.2,novelty_search
4800,2.04,1.7283333333333335,2.5095833333333335,novelty_search
4850,2.5714285714285716,2.4257142857142857,2.663265306122449,novelty_search
4900,2.5306122448979593,2.520408163265306,2.6020408163265305,novelty_search
4950,3.255813953488372,2.697906976744186,3.298119742701633,novelty_search
5000,2.68,2.34,2.733617021276596,novelty_search
5050,2.489795918367347,2.4591836734693877,2.890731292517007,novelty_search
5100,2.3636363636363638,2.362669245647969,2.7130681818181817,novelty_search
5150,2.9,2.6948979591836735,2.95,novelty_search
5200,3.2083333333333335,2.8694727891156466,3.210549645390071,novelty_search
5250,3.24,3.12,3.27,novelty_search
5300,2.857142857142857,2.7827380952380953,3.034954407294833,novelty_search
5350,2.9375,2.9144021739130435,2.958545918367347,novelty_search
5400,2.6122448979591835,2.5161224489795915,2.8061224489795915,novelty_search
5450,2.6,2.58125,2.6333333333333333,novelty_search
5500,2.34,2.1075,2.4353061224489796,novelty_search
5550,2.306122448979592,2.173061224489796,2.313061224489796,novelty_search
5600,2.6530612244897958,2.5973639455782314,3.170280612244898,novelty_search
5650,2.5416666666666665,2.3808333333333334,2.895833333333333,novelty_search
5700,2.723404255319149,2.6382978723404253,3.122118794326241,novelty_search
5750,3.38,2.82,3.5677777777777777,novelty_search
5800,2.7045454545454546,2.4043560606060606,2.9935770750988144,novelty_search
5850,2.82,2.73,3.065555555555555,novelty_search
